,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,id,outliers
6865,38,2,2,1,0,1,0,1,3,3,1,999,0,0,1.1,93.994,-36.4,4.86,0,6967,1
8893,39,8,2,0,0,0,0,1,5,3,2,999,0,0,1.4,94.465,-41.8,4.8660000000000005,1,9023,1
20510,37,2,1,1,0,1,1,0,4,1,5,999,0,0,1.4,93.444,-36.1,4.965,1,20759,1
26976,43,1,1,5,0,1,0,0,1,1,1,999,0,0,-1.8,93.075,-47.1,1.4980000000000002,1,27974,1
28842,60,8,1,0,0,1,0,1,3,0,1,999,0,0,-1.8,92.893,-46.2,1.354,1,30447,1
5092,55,0,1,5,0,1,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.857,1,5180,1
18166,39,2,1,5,0,0,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.968,1,18399,1
10523,56,10,2,0,0,1,0,1,5,2,3,999,0,0,1.4,94.465,-41.8,4.961,1,10680,1
25641,57,2,1,1,0,1,0,0,8,3,4,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26386,1
1200,32,3,1,1,0,0,0,1,3,3,1,999,0,0,1.1,93.994,-36.4,4.855,0,1233,1
25362,33,4,1,5,0,1,1,0,8,1,3,999,0,0,-0.1,93.2,-42.0,4.12,1,26054,1
27475,64,7,1,2,0,1,0,0,1,3,4,999,0,0,-1.8,93.075,-47.1,1.41,1,28645,1
5790,45,3,1,4,0,0,0,1,3,0,3,999,0,0,1.1,93.994,-36.4,4.857,1,5885,1
3095,44,3,1,3,0,0,0,1,3,3,2,999,0,0,1.1,93.994,-36.4,4.86,1,3159,1
12317,43,4,0,5,0,0,0,0,2,0,1,999,0,0,1.4,93.918,-42.7,4.96,1,12499,1
6035,39,3,1,3,0,0,0,1,3,2,2,999,0,0,1.1,93.994,-36.4,4.857,1,6131,1
34308,54,2,1,1,0,1,0,1,7,0,1,999,0,0,-3.4,92.379,-29.8,0.797,1,37978,1
23503,29,0,0,0,0,0,0,0,4,3,9,999,0,0,1.4,93.444,-36.1,4.962,1,23773,1
5119,35,3,1,1,0,1,1,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.857,1,5208,1
25548,34,2,1,5,0,0,0,0,8,3,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,0,26273,1
25131,32,5,1,5,0,1,0,1,8,1,2,999,0,0,-0.1,93.2,-42.0,4.12,1,25759,1
34784,24,3,1,4,0,1,0,0,0,4,1,999,0,0,-3.4,92.431,-26.9,0.72,1,38586,1
10036,25,0,0,5,0,1,0,1,5,3,7,999,0,0,1.4,94.465,-41.8,4.958,0,10184,1
36388,64,7,2,3,0,1,1,1,7,4,2,6,2,1,-1.1,94.199,-37.5,0.878,0,40690,1
27628,25,6,1,0,0,1,1,1,1,3,7,999,0,0,-1.8,93.075,-47.1,1.41,1,28861,1
4979,45,8,1,1,0,1,1,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.857,1,5066,1
21459,31,2,0,0,0,1,0,0,4,2,9,999,0,0,1.4,93.444,-36.1,4.963,0,21715,1
9374,39,0,0,0,0,0,1,1,5,0,2,999,0,0,1.4,94.465,-41.8,4.961,1,9517,1
17190,59,3,1,2,0,1,0,0,2,0,7,999,0,0,1.4,93.918,-42.7,4.962,1,17410,1
36563,26,2,0,1,0,0,0,1,0,0,1,16,1,1,-1.1,94.601,-49.5,0.977,1,40918,1
8154,57,2,1,1,0,1,0,1,5,2,2,999,0,0,1.4,94.465,-41.8,4.864,1,8275,1
32616,28,0,0,0,0,1,0,0,3,4,2,999,0,0,-1.8,92.893,-46.2,1.259,1,35885,1
23462,33,10,0,0,0,0,0,0,4,3,2,999,0,0,1.4,93.444,-36.1,4.962,1,23731,1
3820,53,2,1,5,0,1,0,1,3,0,3,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,3895,1
13027,31,2,2,1,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13219,1
19197,42,2,1,1,0,1,1,0,4,1,2,999,0,0,1.4,93.444,-36.1,4.967,1,19438,1
11784,37,4,1,5,0,1,0,1,5,2,3,999,0,0,1.4,94.465,-41.8,4.958,1,11960,1
26499,38,2,0,1,0,1,0,0,8,4,1,999,0,0,-0.1,93.2,-42.0,4.021,1,27432,1
25937,46,8,1,0,0,1,0,0,8,3,6,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26737,1
18970,58,9,1,3,0,0,0,0,4,1,3,999,0,0,1.4,93.444,-36.1,4.967,1,19207,1
20341,32,0,1,5,0,1,1,0,4,2,3,999,0,0,1.4,93.444,-36.1,4.966,1,20587,1
7969,47,2,2,5,0,1,0,1,5,0,2,999,0,0,1.4,94.465,-41.8,4.865,1,8089,1
12569,33,2,1,1,0,1,0,0,2,2,1,999,0,0,1.4,93.918,-42.7,4.962,1,12755,1
6589,30,3,0,4,0,0,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.857,1,6690,1
35481,29,0,0,0,0,1,0,0,1,0,3,12,1,1,-1.8,93.749,-34.6,0.645,1,39509,1
24767,38,1,1,5,0,1,0,0,8,2,3,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,1,25298,1
23154,31,2,0,1,0,1,0,0,4,1,3,999,0,0,1.4,93.444,-36.1,4.964,1,23422,1
20503,44,3,1,3,0,1,1,0,4,1,1,999,0,0,1.4,93.444,-36.1,4.965,1,20752,1
13019,44,10,1,4,0,0,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13211,1
6491,29,0,0,5,0,1,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.857,1,6591,1
27777,42,3,1,3,0,1,0,0,1,4,3,999,0,0,-1.8,93.075,-47.1,1.405,1,29089,1
8010,59,7,2,0,0,0,0,1,5,0,6,999,0,0,1.4,94.465,-41.8,4.865,0,8130,1
9463,50,8,1,5,0,0,0,1,5,0,17,999,0,0,1.4,94.465,-41.8,4.961,1,9607,1
10672,30,0,1,0,0,0,1,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.962,1,10830,1
31237,33,8,1,4,0,1,1,0,3,1,1,999,0,0,-1.8,92.893,-46.2,1.281,1,33974,1
25289,56,3,2,4,0,1,0,0,8,1,3,999,0,0,-0.1,93.2,-42.0,4.12,0,25960,1
8230,27,10,1,5,0,0,0,1,5,2,2,999,0,0,1.4,94.465,-41.8,4.864,1,8351,1
21015,44,3,1,3,0,1,0,0,4,0,1,999,0,0,1.4,93.444,-36.1,4.963,1,21268,1
16316,30,8,1,0,0,0,1,0,2,1,2,999,0,0,1.4,93.918,-42.7,4.963,1,16525,1
26160,29,8,1,0,0,0,0,0,8,4,4,999,0,0,-0.1,93.2,-42.0,4.021,1,27001,1
1419,41,3,1,4,0,0,1,1,3,3,5,999,0,0,1.1,93.994,-36.4,4.855,1,1453,1
18721,45,2,2,5,0,1,1,0,4,0,3,999,0,0,1.4,93.444,-36.1,4.97,1,18957,1
14037,35,3,1,4,0,1,0,0,2,0,2,999,0,0,1.4,93.918,-42.7,4.962,0,14236,1
10777,24,3,0,3,0,0,0,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.962,1,10937,1
27408,35,2,1,1,0,1,0,0,1,1,1,999,0,0,-1.8,93.075,-47.1,1.415,1,28561,1
30975,50,5,1,0,0,1,0,0,3,2,3,999,0,0,-1.8,92.893,-46.2,1.291,1,33565,1
13951,23,3,0,4,0,0,1,0,2,0,3,999,0,0,1.4,93.918,-42.7,4.962,1,14150,1
8283,43,3,1,3,0,1,0,1,5,2,3,999,0,0,1.4,94.465,-41.8,4.864,1,8404,1
3316,35,2,1,5,0,0,0,1,3,3,2,999,0,0,1.1,93.994,-36.4,4.86,0,3384,1
1617,35,3,1,2,0,0,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.855,1,1653,1
26992,29,0,0,0,0,0,1,0,1,1,1,999,0,0,-1.8,93.075,-47.1,1.4980000000000002,1,27993,1
33958,33,4,1,5,0,0,0,0,4,3,1,999,0,0,-2.9,92.201,-31.4,0.873,0,37522,1
10582,54,0,2,0,0,0,0,1,5,2,4,999,0,0,1.4,94.465,-41.8,4.961,1,10739,1
4119,58,3,2,3,0,0,0,1,3,0,4,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4197,1
17526,55,7,2,5,0,1,0,0,2,2,3,999,0,0,1.4,93.918,-42.7,4.961,1,17752,1
12914,34,3,1,4,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13105,1
10281,36,8,0,0,0,0,0,1,5,0,6,999,0,0,1.4,94.465,-41.8,4.96,1,10435,1
12060,28,3,1,5,0,1,0,1,2,3,1,999,0,0,1.4,93.918,-42.7,4.966,1,12239,1
29361,28,2,0,5,0,1,0,0,3,1,2,999,0,0,-1.8,92.893,-46.2,1.334,0,31163,1
8344,48,3,1,1,0,0,0,1,5,2,6,999,0,0,1.4,94.465,-41.8,4.864,1,8466,1
4503,32,4,1,5,0,0,1,1,3,2,2,999,0,0,1.1,93.994,-36.4,4.856,1,4586,1
24240,38,0,1,2,0,0,1,1,8,0,2,999,0,0,-0.1,93.2,-42.0,4.191,1,24618,1
33646,42,0,1,0,0,1,0,0,4,2,1,4,1,1,-2.9,92.201,-31.4,0.884,0,37121,1
18074,35,2,1,1,0,0,0,0,2,1,8,999,0,0,1.4,93.918,-42.7,4.963,1,18307,1
1160,38,0,0,0,0,1,0,1,3,3,1,999,0,0,1.1,93.994,-36.4,4.855,1,1193,1
25899,33,4,2,5,0,0,1,0,8,3,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26693,1
9891,32,0,1,5,0,1,0,1,5,3,2,999,0,0,1.4,94.465,-41.8,4.958,1,10038,1
63,48,0,1,5,0,0,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,64,1
30916,31,10,1,1,0,1,0,0,3,2,1,999,0,0,-1.8,92.893,-46.2,1.291,1,33472,1
13395,31,8,0,0,0,1,1,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.963,1,13591,1
11794,42,1,1,0,0,1,0,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.958,1,11970,1
32511,38,0,1,5,0,0,0,0,3,0,3,999,0,0,-1.8,92.893,-46.2,1.244,1,35758,1
32393,30,2,0,1,0,1,0,0,3,0,1,999,0,0,-1.8,92.893,-46.2,1.244,1,35610,1
11276,47,3,2,3,0,1,0,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.959,1,11443,1
216,35,0,1,5,0,1,0,1,3,0,2,999,0,0,1.1,93.994,-36.4,4.857,1,220,1
8452,27,1,0,0,0,1,1,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.864,1,8575,1
15105,29,0,0,5,0,0,1,1,2,4,9,999,0,0,1.4,93.918,-42.7,4.957,1,15309,1
22532,35,2,1,1,0,0,0,0,4,0,2,999,0,0,1.4,93.444,-36.1,4.965,1,22795,1
18489,34,2,2,5,0,1,0,0,2,3,21,999,0,0,1.4,93.918,-42.7,4.968,1,18723,1
17423,49,2,1,0,0,0,0,0,2,0,15,999,0,0,1.4,93.918,-42.7,4.962,1,17647,1
25176,30,4,1,5,0,0,0,0,8,1,1,999,0,0,-0.1,93.2,-42.0,4.12,1,25816,1
7080,55,9,0,4,0,0,0,1,3,3,1,999,0,0,1.1,93.994,-36.4,4.86,1,7186,1
18985,46,0,1,5,0,0,0,0,4,1,1,999,0,0,1.4,93.444,-36.1,4.967,1,19223,1
29201,37,4,1,2,0,1,0,0,3,2,1,999,0,0,-1.8,92.893,-46.2,1.344,1,30920,1
12226,43,8,1,1,0,0,1,0,2,0,2,999,0,0,1.4,93.918,-42.7,4.96,1,12408,1
30004,32,2,2,1,0,0,1,0,3,4,1,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,1,32107,1
15280,25,0,0,0,0,0,0,0,2,4,1,999,0,0,1.4,93.918,-42.7,4.957,1,15486,1
13157,39,4,1,2,0,1,0,1,2,1,2,999,0,0,1.4,93.918,-42.7,4.962,1,13352,1
33258,24,0,0,0,0,0,0,0,5,4,2,999,0,0,-2.9,92.963,-40.8,1.268,0,36666,1
31516,32,3,1,3,0,1,0,0,3,3,1,999,0,0,-1.8,92.893,-46.2,1.266,1,34368,1
10171,60,8,1,1,0,1,0,1,5,0,1,999,0,0,1.4,94.465,-41.8,4.96,1,10322,1
33473,49,2,0,1,0,1,0,0,5,0,1,3,1,1,-2.9,92.963,-40.8,1.215,1,36914,1
8051,29,8,0,0,0,0,0,1,5,2,1,999,0,0,1.4,94.465,-41.8,4.864,1,8171,1
24589,35,0,1,5,0,1,0,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,1,25067,1
584,32,0,0,0,0,0,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.857,1,605,1
35333,53,3,0,4,0,1,0,0,6,3,1,9,2,1,-1.8,93.369,-34.8,0.643,0,39305,1
11151,35,3,0,3,0,1,0,1,5,3,1,999,0,0,1.4,94.465,-41.8,4.961,1,11316,1
22756,56,0,2,0,0,1,0,0,4,2,4,999,0,0,1.4,93.444,-36.1,4.965,1,23021,1
7956,50,7,1,3,0,1,0,1,5,0,6,999,0,0,1.4,94.465,-41.8,4.865,1,8075,1
28495,34,3,1,3,0,1,0,0,1,3,1,999,0,0,-1.8,93.075,-47.1,1.406,0,30050,1
14974,29,10,1,0,0,0,1,0,2,3,2,999,0,0,1.4,93.918,-42.7,4.958,1,15178,1
31206,29,3,1,4,0,0,0,0,3,1,1,999,0,0,-1.8,92.893,-46.2,1.281,0,33926,1
27810,34,8,1,0,0,0,0,0,1,4,1,999,0,0,-1.8,93.075,-47.1,1.405,1,29137,1
25340,45,0,1,0,0,1,0,0,8,1,3,999,0,0,-0.1,93.2,-42.0,4.12,1,26027,1
20184,29,2,0,1,0,0,0,0,4,2,2,999,0,0,1.4,93.444,-36.1,4.966,1,20429,1
16614,58,3,1,4,0,0,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.962,1,16826,1
22088,34,2,1,1,0,1,1,0,4,3,3,999,0,0,1.4,93.444,-36.1,4.963,1,22348,1
9631,39,9,1,3,0,1,0,1,5,0,4,999,0,0,1.4,94.465,-41.8,4.961,1,9775,1
30309,32,3,0,5,0,0,0,0,3,0,1,999,0,0,-1.8,92.893,-46.2,1.2990000000000002,1,32573,1
26564,57,4,1,3,0,0,0,0,8,4,2,999,0,0,-0.1,93.2,-42.0,4.021,1,27515,1
27240,40,0,2,0,0,0,0,0,1,1,2,999,0,0,-1.8,93.075,-47.1,1.445,0,28338,1
16271,32,3,2,2,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.963,1,16480,1
22246,57,2,1,1,0,1,0,0,4,4,1,999,0,0,1.4,93.444,-36.1,4.964,1,22507,1
9316,42,4,1,5,0,1,1,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9458,1
4782,35,3,1,4,0,0,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4865,1
17568,35,0,1,1,0,0,0,0,2,2,1,999,0,0,1.4,93.918,-42.7,4.961,1,17796,1
21905,37,2,0,1,0,0,0,0,4,3,1,999,0,0,1.4,93.444,-36.1,4.963,1,22163,1
4276,31,3,1,2,0,1,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.856,1,4356,1
6644,38,3,1,5,0,0,0,1,3,1,5,999,0,0,1.1,93.994,-36.4,4.857,1,6745,1
25352,40,2,1,5,0,0,0,0,8,1,4,999,0,0,-0.1,93.2,-42.0,4.12,1,26040,1
23237,33,4,1,1,0,1,0,0,4,3,5,999,0,0,1.4,93.444,-36.1,4.962,1,23505,1
32408,34,3,1,4,0,1,0,0,3,0,1,999,0,0,-1.8,92.893,-46.2,1.244,1,35628,1
23871,45,10,1,4,0,1,0,0,8,0,1,999,0,0,-0.1,93.2,-42.0,4.191,1,24159,1
1003,28,0,1,5,0,1,0,1,3,1,1,999,0,0,1.1,93.994,-36.4,4.856,1,1032,1
19381,45,1,1,3,0,0,0,0,4,3,2,999,0,0,1.4,93.444,-36.1,4.968,1,19622,1
20421,42,10,1,0,0,0,1,0,4,1,1,999,0,0,1.4,93.444,-36.1,4.965,1,20668,1
17402,52,5,1,4,0,1,0,0,2,0,5,999,0,0,1.4,93.918,-42.7,4.962,1,17626,1
18764,47,5,1,0,0,0,0,0,4,2,3,999,0,0,1.4,93.444,-36.1,4.968,0,19000,1
33126,31,4,1,5,0,1,0,0,5,1,2,999,0,0,-2.9,92.963,-40.8,1.26,0,36506,1
27394,25,6,0,5,0,1,1,0,1,1,1,999,0,0,-1.8,93.075,-47.1,1.415,0,28544,1
18647,38,2,1,1,0,0,0,0,4,0,3,999,0,0,1.4,93.444,-36.1,4.97,1,18882,1
14072,42,3,1,2,0,0,0,0,2,0,3,999,0,0,1.4,93.918,-42.7,4.962,1,14271,1
28706,60,0,1,5,0,1,1,0,1,3,2,999,0,0,-1.8,93.075,-47.1,1.365,0,30288,1
31593,36,3,1,4,0,1,0,0,3,3,2,999,0,0,-1.8,92.893,-46.2,1.266,1,34482,1
10042,36,2,1,1,0,0,1,1,5,3,2,999,0,0,1.4,94.465,-41.8,4.958,1,10190,1
10295,42,0,0,5,0,0,0,1,5,0,3,999,0,0,1.4,94.465,-41.8,4.96,1,10449,1
31761,28,3,0,4,0,1,0,0,3,3,2,999,0,0,-1.8,92.893,-46.2,1.266,1,34716,1
31219,29,3,0,4,0,1,0,0,3,1,1,999,0,0,-1.8,92.893,-46.2,1.281,1,33944,1
34015,76,7,1,1,0,0,0,0,4,0,1,15,1,1,-2.9,92.201,-31.4,0.861,0,37597,1
31305,37,3,1,2,0,0,1,0,3,1,5,999,0,0,-1.8,92.893,-46.2,1.281,1,34074,1
9544,37,3,1,5,0,1,0,1,5,0,4,999,0,0,1.4,94.465,-41.8,4.961,1,9688,1
35033,31,0,0,0,0,0,0,0,8,2,2,999,0,0,-3.4,92.649,-30.1,0.716,1,38908,1
26186,33,0,1,0,0,1,0,0,8,4,1,999,0,0,-0.1,93.2,-42.0,4.021,1,27033,1
13320,27,3,0,4,0,1,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.963,1,13516,1
14717,35,3,0,5,0,1,0,0,2,1,5,999,0,0,1.4,93.918,-42.7,4.957,1,14920,1
9001,47,2,1,4,0,0,0,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9132,1
14788,30,0,0,0,0,0,0,0,2,3,2,999,0,0,1.4,93.918,-42.7,4.958,1,14991,1
19762,34,0,2,5,0,1,0,0,4,4,5,999,0,0,1.4,93.444,-36.1,4.966,1,20007,1
25416,33,8,1,0,0,1,0,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.12,1,26121,1
36685,51,4,1,5,0,1,0,0,8,0,3,6,3,1,-1.1,94.767,-50.8,1.05,1,41079,1
7843,45,8,2,0,0,0,0,1,5,0,4,999,0,0,1.4,94.465,-41.8,4.865,1,7961,1
12079,35,0,2,0,0,0,0,1,2,3,1,999,0,0,1.4,93.918,-42.7,4.966,1,12259,1
11594,57,7,0,5,0,0,0,1,5,4,3,999,0,0,1.4,94.465,-41.8,4.959,1,11766,1
32321,44,4,2,5,0,0,0,0,3,0,4,999,0,0,-1.8,92.893,-46.2,1.244,0,35523,1
30818,39,2,1,5,0,1,0,0,3,2,4,3,1,1,-1.8,92.893,-46.2,1.291,1,33332,1
4906,33,1,2,0,0,0,0,1,3,1,4,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4993,1
19601,46,0,1,1,0,1,0,0,4,4,1,999,0,0,1.4,93.444,-36.1,4.966,1,19844,1
34189,71,7,1,0,0,0,0,0,4,3,1,999,0,0,-2.9,92.201,-31.4,0.8290000000000001,1,37825,1
1767,32,0,1,5,0,0,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.855,1,1803,1
